cdid,digitalCommonsURL,digitalCommonsPdfURL,persistentID,circuit,court,state,stateClaim,judge,judgeFullName,judgeFirstName,judgeMiddleName,judgeLastName,judgeSuffix,lawsuitFiledYear,lawsuitFiledDate,cdFiledYear,cdSignedYear,cdFiledDate,caseNumber,versionNumber,caseName,cdSignedDate,effectiveDate,durationNumberOfYears,durationText,plaintiffsAttorneysFees,internComments,cdCreateDate,lastModifiedDate,lastModifiedBy,hidden,hiddenDate
11,http://digitalcommons.ilr.cornell.edu/condec/38/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1037&amp;context=condec,05-4186-JPG-1,7th,Southern District,Illinois,False,"Gilbert, Phil J.",J. Phil Gilbert,J.,Phil,Gilbert,,2005,2005-09-29 00:00:00,2007,2007,2007-01-25 00:00:00,05-4186 JPG,1,"EEOC v. J.D. Streett & Company, Inc.",2007-01-25 00:00:00,,2,Two Years,"1.  Defendant will pay a total of $250,000 (""Settlement Sum"") as compensatory damabes to Beverly Sanders, Connie Stacey, Tamala Buchanan and Grace Bellamy.  Within twenty (20) days after execution of the Decree, Defendant will mail a check to Kristen Glasford made payable to the law firm of Rhode & Jackson in the amount  of the Settlement Sum.  The Settlement Sum shall be distributed equally, $62,500 each, to Sanders, Stacey, Buchanan and Bellamy, less costs, expenses, and attorneys' fees attributable to each of them.  (Page, 3)


Each party shall bear that party's own costs and attorneys� fees, except as stated in section II, paragraph 1.  (Page, 4)

",,2010-05-21 11:19:17.587000000,2011-01-19 09:28:40.483000000,lg338,False,
12,http://digitalcommons.ilr.cornell.edu/condec/76/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1079&amp;context=condec,05-CV-1234-GLS-DRH-1,2nd,Northern District,New York,False,"Sharpe, Gary L.",Gary L. Sharpe,Gary,L.,Sharpe,,2005,2005-09-29 00:00:00,2006,2006,2006-10-12 00:00:00,05-CV-1234 GLS/DRH,1,"EEOC v. Eden Park Health Services, Inc. ",2006-10-12 00:00:00,,3,Three Years,,,2010-05-21 11:19:17.730000000,2011-01-18 15:43:17.680000000,lg338,False,
13,http://digitalcommons.ilr.cornell.edu/condec/77/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1076&amp;context=condec,05-CV-9419-WHP-RLE-1,2nd,Southern District,New York,False,"Pauly III, William H.",William H. Pauly III,William,H.,Pauly,III,2005,2005-11-07 00:00:00,2006,2006,2006-08-08 00:00:00,05-CV-9419 (WHP/RLE),1,"EEOC v. Fox News Network, LLC.",2006-08-04 00:00:00,,3.33,"17.  This Decree will remain in effect until December 31, 2009.  (Page, 5)","Each party shall bear its own attorney fees and costs incurred in this action.  (Page, 5)",,2010-05-21 11:19:17.870000000,2011-01-18 15:32:37.160000000,lg338,False,
14,http://digitalcommons.ilr.cornell.edu/condec/75/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1080&amp;context=condec,06-C-5172-1,7th,Eastern District,Illinois,False,"Guzman, Ronald A. ",Ronald A. Guzman,Ronald,A.,Guzman,,2006,2006-09-25 00:00:00,2007,2007,2007-01-11 00:00:00,06 C 5172,1,"EEOC v. Compact Industries, Inc.",2007-01-11 00:00:00,,2,Two Years,"14. Each party to this action shall bear its own attorneys� fees, costs, and expenses.  (Page, 6)",,2010-05-21 11:19:17.963000000,2011-01-18 21:59:50.167000000,lg338,False,
15,http://digitalcommons.ilr.cornell.edu/condec/26/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1029&amp;context=condec,06-CV-4577-NG-RER-1,2nd,Eastern District,New York,False,"Reyes, Jr., Ramon E.",Ramon E. Reyes Jr.,Ramon,E.,Reyes,Jr.,2006,2006-08-24 00:00:00,2008,2008,2008-03-10 00:00:00,06 CV 4577 (NG) (RER),1,"EEOC v. Books For Less, LLC & Books For Less, Inc. ",2008-03-10 00:00:00,,4,Four Years,,,2010-05-21 11:19:18.057000000,2011-06-01 01:38:41.427000000,lg338,False,
16,http://digitalcommons.ilr.cornell.edu/condec/70/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1059&amp;context=condec,06-155-1,7th,Southern District,Illinois,False,"Stiel, William D.",William D. Stiel,William,D.,Stiel,,2006,2006-02-21 00:00:00,2007,2007,2007-02-09 00:00:00,06-155,1,"EEOC v. Joe Hotze Ford, Inc.",2007-02-09 00:00:00,,2,Two Years,"32. Each party to this Decree shall bear its own expenses, attorney�s fees, and costs.  (Page, 11) ",,2010-05-21 11:19:18.197000000,2011-01-19 09:35:44.293000000,lg338,False,
17,http://digitalcommons.ilr.cornell.edu/condec/65/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1065&amp;context=condec,06-22452-CIV-GOLD-TURNOFF-1,11th,"Southern District of Florida, Miami Division",Florida,False,"Gold, Alan S.",Alan S. Gold,Alan,S.,Gold,,2006,2006-09-28 00:00:00,2008,2008,2008-04-01 00:00:00,06-22452 CIV-GOLD/TURNOFF,1,"EEOC v. BJ's Wholesale Club, Inc.",2008-03-31 00:00:00,,3,Three Years,"Each Party shall bear its own costs associated with this litigation. (Page, 7)",,2010-05-21 11:19:18.323000000,2012-11-11 16:39:22.567000000,,False,
18,http://digitalcommons.ilr.cornell.edu/condec/62/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1069&amp;context=condec,06-CV-2959-MLC-TJB-1,3rd,United States District Court for the District of New Jersey,New Jersey,False,"Pisano, Joel",Joel Pisano,Joel,,Pisano,,2006,2006-06-29 00:00:00,2007,2007,2007-06-28 00:00:00,06-CV-2959 (MLC) (TJB),1,"EEOC v. Halo Sheet Metal, Inc.",2007-06-28 00:00:00,,3,Three Years,"The EEOC and Defendant shall each bear their respective attorney�s fees and costs in this matter.  (Page, 6)",,2010-05-21 11:19:18.417000000,2011-02-07 14:05:43.860000000,lg338,False,
19,http://digitalcommons.ilr.cornell.edu/condec/27/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1028&amp;context=condec,06-cv-6426-MAT-1,2nd,Western District,New York,False,"Telesca, Michael A. ",Michael A. Telesca,Michael,A.,Telesca,,2006,2006-08-23 00:00:00,2008,2008,2008-05-13 00:00:00,06-cv-6426 (MAT),1,"EEOC v. American Industrial Sales Corp, Rak Industries, Inc.",2008-05-12 00:00:00,,3,Three Years,,,2010-05-21 11:19:18.510000000,2013-01-10 15:49:08.730000000,lg338,False,
20,http://digitalcommons.ilr.cornell.edu/condec/19/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1021&amp;context=condec,07-CV-8256-1,2nd,Southern District,New York,False,"Peck, Andrew J.",Andrew J. Peck,Andrew,J.,Peck,,2007,2007-09-24 00:00:00,2008,2008,2008-06-03 00:00:00,07 CV 8256,1,EEOC v. Tavern on the Green Ltd. P'ship.,2008-06-03 00:00:00,,5,Five Years,"Within sixty (60) days after the entry of this Decree, Defendant will pay to Charging Party the amount specified in the Settlement Agreement that has been entered into between the Charging Party and Defendant (�Settlement Agreement�) in resolution of this Complaint.  This payment consists of compensatory damages and attorneys� fees as specified in the Settlement Agreement.  (Page, 3)",,2010-05-21 11:19:18.603000000,2013-01-11 11:00:31.010000000,lg338,False,
21,http://digitalcommons.ilr.cornell.edu/condec/33/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1027&amp;context=condec,07-cv-3976-RHK-AJB-07-cv-3986-RJK-AJB-1,8th,District of Minnesota,Minnesota,False,"Kyle, Richard H.",Richard H. Kyle,Richard,H.,Kyle,,2007,2007-09-14 00:00:00,2007,2007,2007-10-17 00:00:00,07-cv-3976(RHK/AJB); 07-cv-3986(RJK/AJB),1,"EEOC v. Faribault Foods, Inc.; Mendez et. al, v. Faribault Foods, Inc.",2007-10-17 00:00:00,"The Term of this decree will be two (2) years from the Effective Date hereof.The Effective Date hereof will be the date upon which the District Court enters a final order approving this Consent Decree. (Page, 6)",2,Two Years,"Faribault Foods will make a monetary payment (the ""Attorneys' Fees Payment"") of $435,000 to pay the fees and costs of Class Counsel. Class Counsel in this matter is the following:
James H. Kaster
Nichols Kaster & Anderson, PLLP 
4600 IDS Center 
80 South Eighth Street 
Minneapolis, MN 55402-2242
A form 1099 shall be issued to Nichols Kaster & Anderson for this amount. In recognition of this payment, a form 1099 shall also be issued to each member of the Settlement Class.  (Page, 12-13)",,2010-05-21 11:19:18.743000000,2011-04-20 16:59:10.637000000,lg338,False,
